ID,Tweet content,User,Urls list,Hyperlinks_exist,Media_exists,Hashtags list,@ list,ID,created_at,Compound,Subjectivity,Favorites_count,Retweet_count,Replies count,Classification,Sentiment
18,"Official #Covid infection numbers in locked-down #Shanghai continue to increase. Today another record number of new daily cases: �Symptomatic� 2573 reported and �Asymptomatic� 25,146.   #China",StephenMcDonell,,no,no,Covid Shanghai China,,1514429907379630087,2022-04-14 02:26:41+00:00,0.3818,0.22727272727272727,130,46,12,Misinformation,positive

19,A protest here shows some of the strain on the �zero #Covid� system locking down #Shanghai. Here residents are trying to resist a plan to shift them in order to use their housing compound as a quarantine centre. (I�m not sure where they are supposed to go). https://t.co/4bkUTiCEX6,StephenMcDonell,https://twitter.com/LongShao1/status/1514526698725056516,yes,no,Covid Shanghai,,1514553836547067906,2022-04-14 10:39:08+00:00,-0.4874,0.5888888888888889,95,64,11,Misinformation,negative

20,"The @MHRAgovuk � the UK's equivalent of @US_FDA � has authorized a 6th (!!) #Covid vaccine, an inactivated whole-virus vaccine authorized only for people 18-50. 
With the market for Covid vaccines contracting, this is an interesting move. https://t.co/013gMnHVG6",HelenBranswell,https://www.gov.uk/government/news/valneva-covid-19-vaccine-approved-by-mhra,yes,no,Covid,MHRAgovuk US_FDA,1514612992473657360,2022-04-14 14:34:12+00:00,0.508,0.75,38,19,6,Misinformation,positive

21,Please enjoy my #COVID cartoon in today's @TorontoStar #DougFord https://t.co/TQGx5jmOAu,TheoMoudakis,,no,yes,COVID DougFord,TorontoStar,1514212267549671428,2022-04-13 12:01:51+00:00,0.6705,0.5,1731,501,58,Misinformation,positive

22,"From Monday, you are no longer legally required to wear a face covering in most indoor spaces. 

Their use will still be strongly recommended indoors, particularly in crowded spaces, to help reduce the spread of #coronavirus

More information at https://t.co/RCcbgBy3Gt https://t.co/QKNn2S2dkp",scotgov,https://bit.ly/UseOfFaceCoverings,yes,yes,coronavirus,,1514274673646788619,2022-04-13 16:09:50+00:00,0.4774,0.4533333333333333,253,113,161,Misinformation,positive

23,"#Shanghai Covid Emergency | Residents locked without food and medicines. Watch this report 

#5iveLive #Covid #Coronavirus | @ShivAroor https://t.co/nzFi5HJLD2",IndiaToday,,no,yes,Shanghai 5iveLive Covid Coronavirus,ShivAroor,1514932032123523082,2022-04-15 11:41:57+00:00,-0.3818,0.0,25,12,5,Misinformation,negative

24,"#COVID19 confirmed cases and deaths reported by countries and areas in the @WHO Western Pacific Region over the past 24 hours.

For more info on #coronavirus cases in the Region, go to our dashboard: https://t.co/qQ2L141Joi https://t.co/DchkAveDTG",WHOWPRO,http://bit.ly/WPRODashboard,yes,yes,COVID19 coronavirus,WHO,1514873184038027267,2022-04-15 07:48:06+00:00,0.0,0.4375,17,9,2,Information,neutral

25,"The CDC list of conditions associated with increased risk of severe #COVID19 is here. If you have one or more &amp; test positive for #coronavirus, contact a clinician to ask if an antiviral treatment is recommended for you. https://t.co/yAwRtnawKp",tmprowell,https://www.cdc.gov/coronavirus/2019-ncov/need-extra-precautions/people-with-medical-conditions.html,yes,no,COVID19 coronavirus,,1514767113402998784,2022-04-15 00:46:37+00:00,0.4703,0.5227272727272727,25,9,2,Misinformation,positive

26,"Daily COVID cases are on a declining trend, and there are fewer deaths now than was the case a month ago. The proportion of people turning positive out of all the tests done is near the low of the pandemic. #Coronavirus #DIU https://t.co/QoozSFeliQ",IndiaToday,,no,yes,Coronavirus DIU,,1514917802829758471,2022-04-15 10:45:24+00:00,0.3612,0.31136363636363634,8,7,0,Misinformation,positive

27,"As Covid cases are again on the rise, the Delhi Directorate of Education issued guidelines for students on Friday
#Coronavirus #Delhi | @KumarKunalmedia 
https://t.co/WjgBvgQd5b",IndiaToday,https://www.indiatoday.in/coronavirus-outbreak/story/closing-schools-would-be-last-option-says-manish-sisodia-amid-reports-of-rising-covid-cases-in-delhi-1937939-2022-04-15,yes,no,Coronavirus Delhi,KumarKunalmedia,1514927926420324357,2022-04-15 11:25:38+00:00,0.0,0.0,10,5,0,Information,neutral

28,"The FDA today granted�emergency use auth�to the first #COVID19 test that can detect #coronavirus in a breath sample. In a study of 2.4K, it correctly identified 91% of pos samples &amp; 99% of neg samples. Takes 3 mins to run. Not a home test.  #MedTwitter

https://t.co/5f2FxaGQ9e",tmprowell,https://www.nytimes.com/live/2022/04/14/world/covid-19-mandates-cases-vaccine,yes,no,COVID19 coronavirus MedTwitter,,1514788202569089038,2022-04-15 02:10:25+00:00,-0.1531,0.3333333333333333,50,7,0,Information,neutral

29,"For more information on today�s #coronavirus (#COVID19) situation in Victoria, see today�s media release: https://t.co/jSZTOStnuZ",VicGovDH,https://www.health.vic.gov.au/media-releases/coronavirus-update-for-victoria-15-april-2022,yes,no,coronavirus COVID19,,1514808708059983873,2022-04-15 03:31:54+00:00,0.0,0.5,17,6,2,Information,neutral

30,"From Monday, Public Health Scotland will be the main source for #coronavirus data. 

You will find data on daily cases, hospitalisations, deaths and vaccinations on their dashboard https://t.co/fCb7AlLxB8 and @P_H_S_Official

More information at https://t.co/eAUXbLrs4p https://t.co/ZCaj5xc8wD",scotgov,https://tabsoft.co/3jhXXX2 https://bit.ly/COVIDDataReporting,yes,yes,coronavirus,P_H_S_Official,1512369741427576836,2022-04-08 10:00:19+00:00,0.0,0.22499999999999998,72,52,10,Information,neutral

31,"On December 1 Boris Johnson was ""furious"" to see his Downing Street staff laughing about partying during lockdown.

On April 12 Boris Johnson was fined for partying during lockdown.
#Partygatefines #partygate @BorisJohnson @RishiSunak #COVID19 #Coronavirus https://t.co/umSatistn4",StefSimanowitz,,no,yes,Partygatefines partygate COVID19 Coronavirus,BorisJohnson RishiSunak,1513865278102425606,2022-04-12 13:03:03+00:00,0.5719,0.0,109,58,10,Misinformation,positive


32,"India under PM @narendramodi has emerged out of the #Covid19 #pandemic as a Resilient Nation and setting the pace for rest of world as a true World leader. 
#NewIndia �s peaceful rise is consistent with  our philosophy of Vasudaivaya kutumbukam - world is one family. https://t.co/5dffOFqfuj",Rajeev_GoI,,no,yes,Covid19 pandemic NewIndia,narendramodi,1514837152798224384,2022-04-15 05:24:56+00:00,0.7184,0.4666666666666666,194,64,4,Misinformation,positive

33,"#California earned an �F� for its response to #COVID19 in a comprehensive study released last week of responses to the #Pandemic between 2020 and 2021.

California also ranked 47th for its handling of the economy, education, and mortality during that time. https://t.co/xJo2CEggFA",EpochTimes,https://www.theepochtimes.com/california-earns-f-for-covid-response-focused-on-lockdowns-school-closures_4402636.html?utm_medium=social&utm_source=twitter&utm_campaign=digitalsub,yes,no,California COVID19 Pandemic,,1514395512782442499,2022-04-14 00:10:01+00:00,0.25,0.06666666666666667,84,36,9,Information,neutral

34,"This scares me: 20% of U.S. MDs plan to quit medicine.
�It has been a very, very trying 2 years...people have really just needed to process what they�ve been through...But there has not been time, given  the continuing #pandemic &amp; #Omicron surge.�
https://t.co/0KhgRofTBo",Laurie_Garrett,https://jamanetwork.com/journals/jama/fullarticle/2790791,yes,no,pandemic Omicron,,1513677717375533063,2022-04-12 00:37:45+00:00,-0.34,0.29500000000000004,1155,594,89,Misinformation,negative

35,"#MiddayNews |

A daily photo-series that capture city landmarks as they were at the beginning of the #pandemic and how they are now, with curbs lifted

Today: Chembur-Sion Road, EEH

Via: Sayyed Sameer Abedi 

#MumbaiNews @RoadsOfMumbai @mybmc @MMRDAOfficial #Mumbai 
@MNCDFbombay https://t.co/AUAr4Uj5vK",mid_day,,no,yes,MiddayNews pandemic MumbaiNews Mumbai,RoadsOfMumbai mybmc MMRDAOfficial MNCDFbombay,1514825733251641349,2022-04-15 04:39:33+00:00,0.0,0.0,10,6,1,Information,neutral

36,"This is 1 of the most atrocious things I've seen in the #COVID19 #pandemic. #Shanghai is in lockdown w/20K new cases/day. Govt propagandists say the virus was spread by an ""old beggar."" Soldiers gleefully threw an old man to the ground, put a board atop him &amp; crushed the elder. https://t.co/rMKhoEyV4W",Laurie_Garrett,,no,yes,COVID19 pandemic Shanghai,,1513535879880617986,2022-04-11 15:14:08+00:00,-0.4215,0.40909090909090917,350,222,108,Misinformation,negative

37,"When global new case #COVID19 numbers get back to 2020 levels, use of the past tense in writing about the #pandemic will be reasonable. We are a long way from that right now. https://t.co/Ux4Kbk3FUH",Laurie_Garrett,,no,yes,COVID19 pandemic,,1512154201111019522,2022-04-07 19:43:50+00:00,-0.34,0.3425324675324675,581,213,24,Misinformation,negative

38,"A 9-year-old boy is being denied a life-saving kidney transplant because his father is not vaccinated against #COVID19.

Dane Donaldson was found to be a perfect match for his son Tanner in early 2018 before the #Pandemic began. https://t.co/QThcteYZ2w",EpochTimes,https://www.theepochtimes.com/hospital-refuses-father-to-son-kidney-transplant-over-covid-jab_4384193.html?utm_medium=social&utm_source=twitter&utm_campaign=digitalsub,yes,no,COVID19 Pandemic,,1512070191588335626,2022-04-07 14:10:01+00:00,0.2023,0.65,101,76,21,Information,neutral

39,#NancyPelosi has the virus. But don�t worry about what you see in this pic. This is NOT close contact. #biden #socialdistancing #pandemic https://t.co/ugPqLc3OTL,JoeTalkShow,,no,yes,NancyPelosi biden socialdistancing pandemic,,1512461437620342794,2022-04-08 16:04:41+00:00,-0.5927,0.0,185,76,33,Misinformation,negative

40,"#IndianArmy
Army Institute of Management organized #SANCHALAN. A Panel Discussion on #SupplyChain challenges during #Pandemic where Corporate icons from various industries shared their views to students from various colleges across Kolkata.
@adgpi
@SpokespersonMoD https://t.co/eaC1KMOtwl",easterncomd,,no,yes,IndianArmy SANCHALAN SupplyChain Pandemic,adgpi SpokespersonMoD,1512818293815476231,2022-04-09 15:42:42+00:00,0.4019,0.3333333333333333,430,126,10,Misinformation,positive

41,"The COVID-19 #pandemic is still around. 

If you are back to your workplace, #DoItAll to #StopTheSpread. https://t.co/7OWlBsvEKl",WHOSEARO,,no,yes,pandemic DoItAll StopTheSpread,,1513065618500632583,2022-04-10 08:05:29+00:00,0.0,0.0,141,62,8,Information,neutral

42,"�[Democrats are] willing to end Title 42�at the same time, saying there is a COVID crisis,� Rep. @MarkwayneMullin said.

@DHSgov recently announced it will end #Title42, the health rule that allows deportation during the #Pandemic, by May 23. https://t.co/dBOkE24vMz",EpochTimes,https://www.theepochtimes.com/democrats-covid-mitigation-policies-dont-make-sense-rep-markwayne-mullin_4387394.html?utm_medium=social&utm_source=twitter&utm_campaign=digitalsub,yes,no,Title42 Pandemic,MarkwayneMullin DHSgov,1512081518646083591,2022-04-07 14:55:01+00:00,0.0,0.375,31,16,3,Information,neutral

1,"Senior Congress leaders from Saurashtra, Indranil Rajyaguru and Vasram Sagathiya (both ex-MLAs), and Congress corporator Komalben Bharai, joined the Aam Aadmi Party on Thursday.
#Politics | @saurabhv99 
https://t.co/HinIrKjbsR",IndiaToday,https://www.indiatoday.in/india/story/former-gujarat-congress-mla-indranil-rajguru-joins-aap-in-rajkot-1937452-2022-04-14,yes,no,Politics,saurabhv99,1.51456345045405e+18,2022-04-14 11:17:20+00:00,0.4019,0.0,153,46,3,Information,positive
2,"For more takes on today's top stories, visit Newsmax's Cartoons section at https://t.co/j0AEHfyYlZ.  #Biden #Psaki #WhiteHouse #Politics https://t.co/UZFtndy6yQ",newsmax,http://nws.mx/cartoons,yes,yes,Biden Psaki WhiteHouse Politics,,1.51460874309838e+18,2022-04-14 14:17:19+00:00,0.2023,0.5,225,51,12,Information,neutral
3,"LISTEN: @RitaCosby discusses the idea that law enforcement feels abandoned by politicians!

Do you agree? 

Listen to 'The Rita Cosby Show' weeknights at 10PM on 770 AM, https://t.co/YglQsSp5uO or on the 77WABC Radio App! 

#news #police #trendingnews #77wabc #ritacosby #politics https://t.co/cj7Gl4HLAA",77WABCradio,http://wabcradio.com,yes,yes,news police trendingnews 77wabc ritacosby politics,RitaCosby,1.5142176390229e+18,2022-04-13 12:23:12+00:00,-0.2695,0.0,41,72,2,Information,neutral
4,"Check out this clip from my interview with Laura Cathcart Robbins on The Only One In The Room podcast. 

Listen to hear some of my story and about our movement to spread #PBJ across our great state of Arkansas! 

#podcast #storytelling #theonlyone #politics #interview #arkansas https://t.co/AHhDchUC2p",JonesForAR,https://twitter.com/TheOnlyOnePodc1/status/1514002505939644418,yes,no,PBJ podcast storytelling theonlyone politics interview arkansas,,1.51426962649827e+18,2022-04-13 15:49:47+00:00,0.6588,0.875,78,22,2,Information,positive
5,"Today in Daily Independent: 2023 Presidential Election — APC Chiefs Mull Northern Candidate To Checkmate PDP and more stories. 

#nigeria #news #2023presidency #apc #politics #pdp #insecurity #2022Budget #economy #IndependentNewspapers #Frontpage https://t.co/2PNjdY1u8g",IndependentNGR,,no,yes,nigeria news 2023presidency apc politics pdp insecurity 2022Budget economy IndependentNewspapers Frontpage,,1.51478185274929e+18,2022-04-15 01:45:11+00:00,-0.4215,0.208333333333333,28,13,1,Information,negative
6,"#OutlookMagazine new issue | Political cadres not only act as an interface between parties and the masses, they also help in decentralising democracy at the grassroots

@manojkjhadu

#politics #sangh #bjp #cadre #politicalparties #bihar #uttarpradesh #bengal https://t.co/E4AizyNaNa",Outlookindia,,no,yes,OutlookMagazine politics sangh bjp cadre politicalparties bihar uttarpradesh bengal,manojkjhadu,1.51483842781181e+18,2022-04-15 05:30:00+00:00,0.6597,0.518181818181818,19,5,0,Information,positive
7,"Wing.
2022.04.14

#politics #cdnpoli #canpol #polcan #canpoli #sony #sonyphotography #sonya9ii #sigma #sigmaart #sigmaphoto #politicalphotography #ministers #dnd #defence #dnd #rcaf #airforce #cfbtrenton https://t.co/qrHzEUfFtj",TetreaultAJ,,no,yes,politics cdnpoli canpol polcan canpoli sony sonyphotography sonya9ii sigma sigmaart sigmaphoto politicalphotography ministers dnd defence dnd rcaf airforce cfbtrenton,,1.51472053393335e+18,2022-04-14 21:41:32+00:00,0.1027,0.0,30,6,0,Information,neutral
8,"#Opinion: #Kejriwal is ideology-neutral. His #Politics is transactional: dollops of welfare in return for votes. It’s difficult for the #BJP to trap him in #secular versus communal binaries or national versus anti-national polarities, writes Arati R Jerath https://t.co/xF1O29Nhr3",thetribunechd,https://m.tribuneindia.com/news/comment/why-bjp-cant-afford-to-take-aap-lightly-384141,yes,no,Opinion Kejriwal Politics BJP secular,,1.51207289715769e+18,2022-04-07 14:20:46+00:00,-0.5859,1.0,306,168,12,Information,negative
9,"Why #History and #Politics don’t make good friends. How the #political class seeks to distort history to gain votes. #samratashok #Kshatriya #Samrat #Ashok . 
 https://t.co/2evl7CYsnU",sanjeevrsingh,https://timesofindia.indiatimes.com/blogs/sanjeev-singh-blog/maurya-empire-samrat-ashoks-kshatriya-lineage-explained/,yes,no,History Politics political samratashok Kshatriya Samrat Ashok,,1.51348598825302e+18,2022-04-11 11:55:53+00:00,0.7964,0.35,242,134,17,Misinformation,positive
10,From today’s leader column: the #SNP’s Press blackout and the shame of Sturgeon’s secret state #politics #Scotland #media https://t.co/x032qo50Rl,GrahamGGrant,,no,yes,SNP politics Scotland media,,1.5123923245627e+18,2022-04-08 11:30:03+00:00,-0.4767,0.7,253,94,58,Information,negative
11,"Why Dalit vote is shifting from Congress in this time? Watch Congress leader K Raju's conversation with India Today Correspondent in this Exclusive #ReporterDiary

#VoteBank #Politics #Congress

(@Supriya23bh) https://t.co/DPi3WU3y56",IndiaToday,,no,yes,ReporterDiary VoteBank Politics Congress,Supriya23bh,1.51275532571131e+18,2022-04-09 11:32:29+00:00,0.1593,0.0,131,31,2,Information,neutral
12,"BJP is doing Institutional capture in India. Modi is doing it with the help of RSS: Congress MP @manickamtagore

#RSS #Politics #ReporterDiary

(@Supriya23bh) https://t.co/yLAlYxIj0r",IndiaToday,,no,yes,RSS Politics ReporterDiary,manickamtagore Supriya23bh,1.51275449743691e+18,2022-04-09 11:29:12+00:00,0.4019,0.0,155,26,7,Information,positive
13,"At least by now, #Delhi's #Gujarat and #Karnataka focussed #BJP #government and the #Security establishment would have woken up to the #securitybreach.
Action is needed now. This will get worse. #Politics is not everything. #India should matter once in a very long while.",RKRadhakrishn,,no,no,Delhi Gujarat Karnataka BJP government Security securitybreach Politics India,,1.51301999570542e+18,2022-04-10 05:04:12+00:00,-0.1531,0.405,283,33,3,Information,neutral
14,Cannabis Decriminalization Deserves President Joe Biden's Support #decriminalization #law #JoeBiden #Politics #Prohibition #Possession https://t.co/01dDsXM8iB https://t.co/085ijv4Ujr,CannabisCulture,https://bit.ly/373X2Hw,yes,yes,decriminalization law JoeBiden Politics Prohibition Possession,,1.5133268220371e+18,2022-04-11 01:23:25+00:00,0.4019,0.0,89,19,8,Information,positive
15,"Hindu nationalist violence in India against religious minorities -- much of it state-sponsored -- is the most important news story in India right now.

This matters a lot for those in the US too, and here's some reasons why.

https://t.co/iDSmj9Z4VI #Hindutva #BJP #Modi #violence",AudreyTruschke,https://thewire.in/communalism/madhya-pradesh-khargone-ram-navami-muslims,yes,no,Hindutva BJP Modi violence,,1.51458602502008e+18,2022-04-14 12:47:02+00:00,-0.7895,0.497142857142857,424,228,1,Misinformation,negative
16,"So, what can those of us abroad (i.e., not in India) do about rising Hindu nationalist violence in India, some of it state-sponsored?

Learn about it.
Talk about it.
Criticize it.

#Hindutva #Hindunationalism #BJP #Modi #violence #religiousfreedom #India",AudreyTruschke,,no,no,Hindutva Hindunationalism BJP Modi violence religiousfreedom India,,1.51459158752701e+18,2022-04-14 13:09:08+00:00,-0.8957,0.0,105,44,0,Misinformation,negative
17,"On 6 Apr 2022, #Modi govt admitted in #Parliament that 161 workers had died cleaning #sewers over 3 yrs. 9 month earlier, govt said there were no ‘manual scavenging’ deaths, a practice made illegal 29 yrs ago. @AlizaNoor1501 reports

https://t.co/TO4speAzm2",Article14live,https://article-14.com/post/-when-will-papa-come-back-family-ambition-the-death-of-2-young-dalits-in-a-lucknow-sewer-6255e0424813a,yes,no,Modi Parliament sewers,AlizaNoor1501,1.51425634253755e+18,2022-04-13 14:57:00+00:00,-0.8402,0.5,26,17,0,Misinformation,negative
18,"Big boost of #Modi govt's policy - Global appreciation of #khadi’s popularity! 

📢US fashion brand #Patagonia places repeat order for khadi denim fabric.

https://t.co/f46mc4Rjz6",ZeeBusiness,https://www.zeebiz.com/small-business/news-big-boost-of-modi-govts-policy-global-appreciation-of-khadi-s-popularity-us-fashion-brand-patagonia-places-repeat-order-for-khadi-denim-fabric-182859,yes,no,Modi khadi Patagonia,,1.51490477210062e+18,2022-04-15 09:53:37+00:00,0.8553,0.05,14,4,0,Misinformation,positive
19,"The world’s biggest #democracy under #Modi and his ultranationalist #Hindutva followers literally get away with arson, torture and murder after inciting against Muslims and other minorities on a daily basis. This must stop and they must be be held accountable before it worsens. https://t.co/1CDEVV99u1",Moazzam_Begg,https://twitter.com/javerias/status/1510893069369221124,yes,no,democracy Modi Hindutva,,1.51200445161951e+18,2022-04-07 09:48:47+00:00,-0.9313,0.1875,364,198,12,Misinformation,negative
20,"#Modi govt building resilience for the future.
Distribution of free ration by Hon’ble PM @narendramodi ji  empowered them to use their time &amp; energy toward building a bright future. https://t.co/9TQ1qfAd9t",pm_saiprasad,,no,yes,Modi,narendramodi,1.51208611401783e+18,2022-04-07 15:13:17+00:00,0.8074,0.4625,222,192,1,Misinformation,positive
21,#Indian Prime Minister Narendra #Modi said that he offered #Moscow direct talks between #Putin and #Zelenskyy. https://t.co/V7LC9YCb22,nexta_tv,,no,yes,Indian Modi Moscow Putin Zelenskyy,,1.51354463159362e+18,2022-04-11 15:48:55+00:00,0.0,0.4,1127,132,149,Information,neutral
22,"#Vajpayee’s speeches before Nellie &amp; Babri were provocative but couched in poetry &amp; long pauses. He drifted from hard right to centre-right as PM, recognising that India cannot be governed from the extremes. Is PM #Modi the new Vajpayee? My ⁦@DainikBhaskar⁩ op-ed https://t.co/DXPggHDcvP",MinhazMerchant,,no,yes,Vajpayee Modi,DainikBhaskar,1.51410569436615e+18,2022-04-13 04:58:22+00:00,-0.1531,0.482981601731602,32,15,4,Information,neutral
23,"The silence of PM #Modi in face of incidents of violence during #RamNavami procession in 4 states is an “eloquent testimony” that forces those behind these incidents to enjoy official patronage, @SitaramYechury said in an interview to @SobhanaNair  
https://t.co/RxzJwvQT08",the_hindu,https://trib.al/avVJ86C,yes,no,Modi RamNavami,SitaramYechury SobhanaNair,1.5140759383422e+18,2022-04-13 03:00:08+00:00,-0.2263,0.6,121,23,25,Information,neutral
24,"After consultation with the central government, Bharat Biotech has decided to revise the price of #COVAXIN from Rs 1200 to Rs 225 per dose for private hospitals.

Thank you #Modi Ji.

@narendramodi
#ModiHaitoMumkinHai",SharmaKhemchand,,no,no,COVAXIN Modi ModiHaitoMumkinHai,narendramodi,1.5127800943386e+18,2022-04-09 13:10:55+00:00,0.3612,0.3125,26,16,0,Information,positive
25,"4 more #SriLankan #Tamil #refugees have arrived here from #SriLanka. They were dropped, (and hence, stranded)
at Thambibadu area of Dhanushkodi, Ramnad district.
If #Modi #government doesn't allow  #Stalin #government to send relief to Tamils, expect an exodus of refugees.",RKRadhakrishn,,no,no,SriLankan Tamil refugees SriLanka Modi government Stalin government,,1.5122560004216e+18,2022-04-08 02:28:21+00:00,0.3472,0.5,199,33,8,Information,positive
26,"#Ambedkar - founder of Constitution
#RahulGandhi - protector of Constitution https://t.co/x2h55irOqp",VamsiChandReddy,,no,yes,Ambedkar RahulGandhi,,1.5127152368179e+18,2022-04-09 08:53:12+00:00,0.0,0.0,955,187,81,Information,neutral
